,Username,Followers,Following,Repositories,DateCreated,UpdatedDate,,YearCreated,Users
224,addyosmani,27688,253,295,8/1/2009,12/11/2017,,,
225,MugunthKumar,1266,25,41,9/22/2009,12/9/2017,,,
226,tokudu,208,8,9,11/11/2009,9/17/2017,,,
227,grp,1003,113,40,12/6/2009,11/20/2017,,,
228,mhb0925,15,32,10,12/18/2009,11/27/2017,,,
229,milescui,13,5,4,1/28/2010,12/9/2017,,,
230,sergeylenkov,25,0,16,2/10/2010,11/21/2017,,,
231,robey,496,15,55,2/8/2008,11/23/2017,,,
232,perusio,284,10,127,12/11/2008,9/16/2017,,,
233,agentzh,7434,3,63,2/20/2009,11/25/2017,,,
234,etexteditor,74,0,1,4/1/2009,8/14/2017,,,
235,derekcollison,399,15,13,5/30/2009,12/8/2017,,,
236,rzwitserloot,147,6,11,6/8/2009,11/16/2017,,,
237,mdo,15629,1,41,6/25/2009,12/7/2017,,,
238,joearms,1644,0,34,6/29/2009,12/2/2017,,,
239,szegedi,112,4,3,9/3/2009,12/14/2017,,,
240,dcaoyuan,625,6,29,5/9/2010,12/13/2017,,,
241,armon,1235,8,32,1/31/2011,12/12/2017,,,
242,cloudwu,10938,1,101,4/14/2011,12/13/2017,,,
243,litesuits,2434,49,94,3/22/2013,11/22/2017,,,
244,java-decompiler,638,0,5,3/23/2015,11/24/2017,,,
245,tencent-wechat,2114,1,2,3/14/2016,10/10/2017,,,
246,robhudson,331,85,106,2/27/2008,12/14/2017,,,
247,jezdez,1692,107,54,2/28/2008,12/13/2017,,,
248,huacnlee,3555,156,75,4/7/2008,11/21/2017,,,
249,winfield,35,16,45,4/12/2008,11/25/2017,,,
250,lgn21st,518,160,83,4/13/2008,11/20/2017,,,
251,mattt,13850,130,58,4/17/2008,11/26/2017,,,
252,sishen,597,54,54,5/22/2008,11/19/2017,,,
253,pmq20,531,566,197,6/11/2008,12/6/2017,,,
254,phuang,160,12,43,7/3/2008,10/20/2017,,,
255,feelinglucky,679,0,25,8/25/2008,12/11/2017,,,
256,est,58,13,66,9/7/2008,12/4/2017,,,
257,lidaobing,493,111,60,10/4/2008,11/1/2017,,,
258,philn,31,43,29,11/12/2008,12/12/2017,,,
259,hlxwell,87,49,57,12/9/2008,12/8/2017,,,
260,billy3321,153,37,94,12/25/2008,11/16/2017,,,
261,bbbush,16,15,32,1/10/2009,10/13/2017,,,
262,lovelywcm,88,5,4,1/14/2009,10/22/2017,,,
263,garnacho,15,0,8,1/15/2009,8/15/2017,,,
264,luosheng,81,40,57,1/16/2009,12/5/2017,,,
265,chloerei,2540,25,43,1/28/2009,12/7/2017,,,
266,hayeah,566,17,249,1/29/2009,12/12/2017,,,
267,tianyicui,1169,166,60,2/9/2009,12/14/2017,,,
268,iven,103,19,44,2/20/2009,11/18/2017,,,
269,albert748,16,18,9,2/24/2009,12/1/2017,,,
270,frankyue,37,16,13,2/27/2009,11/28/2017,,,
271,wayneeseguin,670,16,97,1/13/2008,12/11/2017,,,
272,jinzhu,1016,11,75,4/12/2008,12/5/2017,,,
273,bfirsh,1015,92,167,12/17/2008,12/7/2017,,,
274,yole,946,0,49,1/14/2009,11/22/2017,,,
275,joshlong,3492,58,297,2/14/2009,12/14/2017,,,
276,antirez,8676,3,56,3/21/2009,12/4/2017,,,
277,costin,169,0,18,4/21/2009,11/7/2017,,,
278,dsyer,1447,3,223,9/7/2009,12/2/2017,,,
279,olivergierke,1594,31,69,9/18/2009,12/11/2017,,,
280,sdeleuze,368,8,143,10/17/2009,12/13/2017,,,
281,clayallsopp,490,0,95,11/15/2009,12/5/2017,,,
282,philwebb,780,22,111,12/12/2010,11/2/2017,,,
283,operator-zz,2,0,0,1/24/2011,2/26/2016,,,
284,svtk,336,0,35,2/17/2012,11/30/2017,,,
285,mstahv,365,6,166,2/27/2012,11/13/2017,,,
286,wenerme,41,7,101,5/25/2012,11/18/2017,,,
287,dchen1107,109,5,11,5/29/2014,7/7/2017,,,
288,jjgod,499,8,50,2/27/2008,12/11/2017,,,
289,joshaber,1651,37,38,6/15/2008,12/12/2017,,,
290,0xced,936,28,152,2/3/2009,11/21/2017,,,
291,steipete,3386,66,42,2/27/2009,11/23/2017,,,
292,mxcl,3471,24,44,2/28/2009,11/26/2017,,,
293,robrix,822,10,159,3/3/2009,12/7/2017,,,
294,zellux,535,20,48,5/13/2009,11/3/2017,,,
295,egonSchiele,1049,67,89,6/20/2009,11/25/2017,,,
296,overboming,77,18,7,7/29/2009,12/13/2017,,,
297,ohdarling,537,11,45,8/27/2009,11/19/2017,,,
298,dismory,114,36,7,10/21/2009,10/31/2017,,,
299,chrisyip,107,43,64,1/25/2010,11/19/2017,,,
300,robb,1353,101,96,2/28/2010,12/4/2017,,,
301,lexrus,2939,435,31,3/10/2010,11/30/2017,,,
302,Leask,210,82,98,3/30/2010,11/24/2017,,,
303,cyfdecyf,940,26,67,7/26/2010,11/24/2017,,,
304,fannheyward,133,202,25,7/27/2010,10/27/2017,,,
305,mikeash,3019,0,50,7/31/2010,11/13/2017,,,
306,indragiek,859,137,60,8/3/2010,11/27/2017,,,
307,Naituw,512,23,41,8/4/2010,12/9/2017,,,
308,zedshaw,2744,0,27,8/9/2010,12/10/2017,,,
309,jspahrsummers,2435,102,53,10/8/2010,12/2/2017,,,
310,nixzhu,1535,1,46,10/11/2010,11/1/2017,,,
311,waynezhang,127,17,32,11/13/2010,12/6/2017,,,
312,romaonthego,1817,32,27,11/14/2010,10/13/2017,,,
313,yyx990803,24643,89,132,11/28/2010,11/1/2017,,,
314,bmabey,198,25,137,2/29/2008,12/8/2017,,,
315,stuarthalloway,817,1,59,3/8/2008,8/30/2017,,,
316,tobias,94,0,180,3/9/2008,11/20/2017,,,
317,aphyr,2895,2,96,3/25/2008,10/16/2017,,,
318,pjstadig,55,12,124,4/7/2008,11/7/2017,,,
319,josephwilk,407,10,103,5/9/2008,12/13/2017,,,
320,jboner,1074,7,27,5/18/2008,11/13/2017,,,
321,fogus,1136,48,21,6/4/2008,10/1/2017,,,
322,swannodette,3085,128,137,6/12/2008,12/1/2017,,,
323,killme2008,1208,49,119,6/18/2008,10/11/2017,,,
324,dakrone,312,20,147,7/31/2008,12/11/2017,,,
325,ztellman,1025,46,39,10/27/2008,11/1/2017,,,
326,cemerick,465,1,101,1/18/2009,8/22/2017,,,
327,shenjunru,27,40,16,4/8/2009,12/4/2017,,,
328,stuartsierra,551,0,67,6/13/2009,11/11/2017,,,
329,jafingerhut,51,0,53,7/28/2009,12/9/2017,,,
330,brandonbloom,257,147,160,8/25/2009,11/29/2017,,,
331,ptaoussanis,462,46,50,11/30/2009,11/30/2017,,,
332,brentonashworth,139,0,9,12/3/2009,11/14/2017,,,
333,krasserm,276,0,29,2/13/2010,11/26/2017,,,
334,mylesmegyesi,33,0,49,2/22/2010,12/8/2017,,,
335,mikera,297,51,88,2/27/2010,9/27/2017,,,
336,wagjo,19,0,42,4/5/2010,12/1/2017,,,
337,qiuxiafei,94,29,12,5/2/2010,12/14/2017,,,
338,tnc,23,0,5,5/11/2010,7/25/2017,,,
339,xumingming,783,47,108,8/29/2010,12/10/2017,,,
340,hotoo,1070,209,164,10/23/2009,11/10/2017,,,
341,kejinlu,678,18,41,11/24/2009,11/8/2017,,,
342,samvermette,1395,0,9,5/5/2010,12/4/2017,,,
343,lepture,6104,76,168,5/29/2010,11/19/2017,,,
344,gaowhen,71,13,14,7/26/2010,12/12/2017,,,
345,shaoshuai0102,133,50,25,10/27/2010,11/12/2017,,,
346,ppanyong,10,1,31,11/17/2010,11/24/2017,,,
347,levey,1002,32,64,2/21/2011,12/13/2017,,,
348,keefo,355,81,102,5/25/2011,12/11/2017,,,
349,wsvn53,54,27,13,7/13/2011,12/5/2017,,,
350,nzakas,6246,0,48,12/5/2008,9/3/2017,,,
351,shawphy,176,18,10,12/18/2008,12/11/2017,,,
352,fitzgen,568,141,194,4/16/2009,12/13/2017,,,
353,yiminghe,2028,85,53,2/10/2010,12/11/2017,,,
354,csnover,468,0,60,3/24/2010,10/30/2017,,,
355,BYVoid,8838,125,38,4/16/2010,10/9/2017,,,
356,douglascrockford,15913,0,14,5/2/2010,11/28/2017,,,
357,nathanacurtis,34,2,2,11/1/2011,12/11/2017,,,
358,evancz,3301,0,44,4/19/2012,11/29/2017,,,
359,joyeecheung,2574,68,70,4/30/2013,11/29/2017,,,
360,livoras,1128,41,100,1/18/2014,11/14/2017,,,
361,bradfitz,4600,27,80,3/9/2008,12/11/2017,,,
362,davecheney,2222,37,185,4/14/2008,12/13/2017,,,
363,yuin,123,0,19,2/21/2009,8/14/2017,,,
364,BohuTANG,291,24,7,12/26/2009,11/23/2017,,,
365,codegangsta,1441,22,45,1/8/2010,10/10/2017,,,
366,ccl0326,28,526,96,7/9/2011,10/20/2017,,,
367,xiaohanyu,332,98,31,11/1/2011,11/15/2017,,,
368,lichuang,346,260,29,7/18/2012,10/19/2017,,,
369,spacewander,116,21,62,4/15/2013,12/6/2017,,,
370,olabini,437,12,46,4/10/2008,12/12/2017,,,
371,yugui,482,14,46,4/22/2008,11/14/2017,,,
372,eto,41,21,6,4/25/2008,12/12/2017,,,
373,ko1,630,0,38,5/7/2008,10/29/2017,,,
374,koichiro,146,75,31,5/8/2008,11/14/2017,,,
375,headius,931,4,161,5/13/2008,11/27/2017,,,
376,authorNari,220,56,81,7/29/2008,8/14/2017,,,
377,miura1729,65,59,26,8/2/2008,8/14/2017,,,
378,AdamSpitz,20,1,5,11/17/2008,11/7/2017,,,
379,brettcannon,436,1,77,2/14/2009,12/10/2017,,,
380,chaoslawful,1292,7,32,2/21/2009,11/22/2017,,,
381,luikore,474,39,49,6/13/2009,12/7/2017,,,
382,krestenkrab,230,27,78,10/9/2009,12/13/2017,,,
383,andreasgal,394,0,65,6/24/2010,10/31/2017,,,
384,SaitoWu,394,33,21,7/30/2010,11/23/2017,,,
385,changm,18,1,35,8/30/2011,8/3/2017,,,
386,aamine,127,1,17,5/3/2012,11/22/2017,,,
387,stefmoon,3,0,3,9/4/2012,6/28/2017,,,
388,pjBooms,17,22,14,11/12/2012,11/14/2017,,,
389,gafter,149,56,10,3/8/2013,12/9/2017,,,
390,stevenknown,35,1,7,7/26/2014,11/4/2017,,,
391,vancem,94,0,17,8/15/2014,10/17/2017,,,
392,russellhadley,31,1,10,11/21/2014,9/30/2017,,,
393,AndyAyersMS,107,0,11,12/8/2014,9/29/2017,,,
394,cmckinsey,14,0,4,12/21/2014,5/20/2017,,,
395,shawnchain,41,4,19,1/11/2009,11/9/2017,,,
396,QuChao,53,10,6,4/9/2009,12/6/2017,,,
397,b123400,98,60,99,9/15/2009,12/6/2017,,,
398,uliwitness,276,20,109,11/28/2009,10/10/2017,,,
399,yyfrankyy,150,7,13,3/31/2010,12/11/2017,,,
400,be5invis,1389,33,47,4/9/2010,12/9/2017,,,
401,fqrouter,784,0,36,4/10/2011,12/1/2017,,,
402,Yonsm,165,1,28,4/16/2012,11/10/2017,,,
403,nunonunes,33,17,13,3/4/2008,12/7/2017,,,
404,Madril,13,32,3,12/16/2009,12/9/2017,,,
405,smpb,31,31,15,12/16/2009,12/3/2017,,,
406,wisewolf,9,13,6,6/25/2010,12/5/2017,,,
407,ppinheiro76,8,0,0,10/10/2010,2/6/2017,,,
408,jponge,138,58,68,9/23/2008,12/1/2017,,,
409,thatcher,106,7,52,10/9/2008,12/8/2017,,,
410,cretz,86,46,61,2/19/2010,12/5/2017,,,
411,Filirom1,66,32,205,6/3/2010,12/1/2017,,,
412,rstoyanchev,767,0,82,9/16/2010,12/7/2017,,,
413,worldlinexx,2,0,0,7/24/2012,2/27/2016,,,
414,dbellemin,3,3,6,9/7/2012,10/2/2017,,,
415,ABoissezon,2,6,0,2/16/2016,6/2/2016,,,
416,tigerlyb,10,7,16,1/10/2013,12/12/2017,,,
417,irinacheng,2,1,5,3/31/2014,12/13/2017,,,
418,Absl,3,0,0,4/18/2016,12/2/2017,,,
419,TheRealKerni,270,16,5,12/22/2008,11/18/2017,,,
420,steventroughtonsmith,612,7,49,1/8/2009,12/13/2017,,,
421,HansPinckaers,87,8,26,4/5/2009,12/4/2017,,,
422,mattgemmell,1521,0,29,10/26/2009,8/14/2017,,,
423,yihui,4042,47,83,12/7/2009,12/1/2017,,,
424,Perspx,176,69,8,12/21/2009,8/14/2017,,,
425,bentford,28,10,15,3/5/2010,10/27/2017,,,
426,odrobnik,991,3,17,7/15/2010,11/27/2017,,,
427,kentnguyen,229,2,8,11/21/2010,10/26/2017,,,
428,PrimaryFeather,391,5,11,1/4/2011,10/24/2017,,,
429,ibireme,9160,57,18,6/9/2011,12/14/2017,,,
430,jamztang,1061,98,56,6/15/2011,9/3/2017,,,
431,yebw,4,0,14,9/7/2011,12/7/2017,,,
432,mpospese,414,1,12,9/9/2011,12/5/2017,,,
433,JonasGessner,252,18,35,10/27/2011,10/16/2017,,,
434,missdora,32,11,22,11/10/2011,10/26/2017,,,
